title;description;type;calories;fat;carbs;protein
Apple;A crisp, juicy fruit with a naturally sweet and refreshing flavor, perfect for a snack or light dessert. Apples are rich in fiber and vitamin C, supporting digestion and boosting immunity.;breakfast,snack,dessert;95;0.3;25;0.5
Banana;A soft, creamy fruit ideal for on-the-go snacking or smoothies. Bananas are a great source of potassium and energy-boosting carbohydrates, providing sustained energy throughout the day.;breakfast,snack,dessert;300;0.4;27;1.2
Orange;A juicy and tangy fruit, perfect as a refreshing snack or breakfast addition. Oranges are high in vitamin C, which supports immune function and skin health.;breakfast,snack,dessert;62;0.2;15;1.2
Watermelon;A hydrating and sweet fruit that’s perfect for hot summer days. Watermelon is low in calories but rich in vitamins A and C, making it both refreshing and nutritious.;breakfast,snack,dessert;30;0.2;8;0.6
Strawberry;Bright red, juicy berries that are a delicious snack or dessert topping. Strawberries are packed with antioxidants and vitamin C, which promote skin health and combat inflammation.;breakfast,snack,dessert;29;0.4;7;0.8
Mango;A juicy tropical fruit known for its vibrant orange color and sweet flavor. Mangoes are rich in vitamins A and C, promoting good eye health and immune support.;breakfast,snack,dessert;60;0.4;15;0.8
Pineapple;A tropical fruit with a perfect balance of sweet and tangy flavors, ideal for salads or desserts. Pineapples are high in bromelain, an enzyme that aids digestion and reduces inflammation.;breakfast,snack,dessert;50;0.1;13;0.5
Grapes;Small, juicy fruits with a burst of sweetness in every bite, great for snacking. Grapes are a good source of vitamins C and K, as well as antioxidants that support heart health.;breakfast,snack,dessert;69;0.2;18;0.7
Pasta with tomato sauce;A classic Italian dish featuring tender pasta in a savory tomato sauce. Pasta provides a good amount of carbohydrates, which are an excellent source of quick energy.;lunch,dinner;157;1.3;31;5.3
Rice with vegetables;A hearty dish combining fluffy rice and a mix of colorful vegetables. The vegetables add fiber and essential vitamins, while rice is a great energy source from carbohydrates.;lunch,dinner;207;0.6;44;4.3
Spaghetti with meatballs;A classic Italian dish of spaghetti served with juicy, flavorful meatballs. The combination of pasta and meat provides a balanced source of carbs, protein, and fats.;lunch,dinner;221;7.9;24;13.3
Goulash;A rich Hungarian stew made with tender beef, vegetables, and paprika. Goulash is a good source of protein and iron from the beef, supporting muscle function and overall health.;lunch,dinner;155;6.6;10;14.1
Lasagne;Layers of pasta, meat, and cheese baked to perfection in a rich tomato sauce. Lasagne offers a hearty balance of protein, carbs, and fats, making it a filling and satisfying meal.;lunch,dinner;185;7.3;19;10.1
Pizza;A popular Italian dish made with a crispy crust, tomato sauce, and melted cheese. Pizza provides energy from carbohydrates and protein from the cheese, but can be high in fat.;lunch,dinner;266;10.2;33;12.1
Hawaiian salad;A tropical salad featuring fresh fruits, vegetables, and often ham or chicken. This salad is light yet nutritious, providing a balance of carbs and fiber from fruits and veggies.;lunch,dinner;110;2.6;20;2.3
Hamburger;A classic American dish with a juicy beef patty between two buns. Hamburgers are a good source of protein, but can be high in fats and calories depending on the toppings.;lunch,dinner;250;9.4;27;12.3
Caesar salad;A flavorful salad with romaine lettuce, croutons, Parmesan cheese, and Caesar dressing. This dish is rich in protein from the Parmesan and chicken, if added.;lunch,dinner;180;7.3;12;15.1
Greek salad;A refreshing salad with cucumber, tomatoes, olives, and feta cheese. Greek salad is rich in antioxidants and healthy fats from the olives and feta, promoting heart health.;lunch,dinner;160;6.3;14;13.1
Tiramisu;A decadent Italian dessert made with coffee-soaked ladyfingers, mascarpone cheese, and cocoa. Though rich in flavor, Tiramisu is high in fats and sugars, offering an indulgent treat.;dessert;450;31;38;6
Pancakes;Fluffy and golden, pancakes are a breakfast favorite often served with syrup or fruit. Pancakes provide quick energy from carbs but are typically higher in fat and sugar.;dessert;200;8;27;6
Apple pie;A classic American dessert with a sweet, spiced apple filling encased in flaky pastry. Apple pie offers a comforting balance of carbs and sugars, but can be high in calories and fats.;dessert;300;12;42;4
Cheesecake;A rich and creamy dessert with a smooth texture, typically made with cream cheese and a graham cracker crust. Cheesecake is high in fats and sugars but delivers a satisfying sweet flavor.;dessert;321;15;41;5
Chocolate cake;A rich, moist dessert made with layers of chocolate cake and frosting. Chocolate cake is indulgent but high in sugar and fats, providing a decadent treat.;dessert;400;20;50;6
Ice cream;A creamy and cold dessert available in various flavors. Ice cream is rich in calcium, but often contains a lot of sugar and fats, making it a treat to enjoy in moderation.;dessert;207;11;25;3
Meat with potatoes;A hearty dish featuring tender cuts of meat served with potatoes. This meal is a good source of protein and carbohydrates, but can also be higher in fat depending on the meat.;lunch,dinner;250;12;20;15
Chicken with rice;A simple yet delicious combination of juicy chicken served over a bed of fluffy rice. This dish is rich in protein and provides energy-boosting carbohydrates.;lunch,dinner;300;15;25;20
Fish with vegetables;A healthy dish featuring tender fish served with a variety of vegetables. Fish is an excellent source of lean protein and omega-3 fatty acids, while vegetables offer fiber and vitamins.;lunch,dinner;200;10;15;20
Salmon with potatoes;A balanced meal with rich, flavorful salmon served alongside potatoes. Salmon is high in omega-3 fatty acids, which support heart health, while potatoes provide carbs.;lunch,dinner;250;12;20;15
Trout with vegetables;A light and nutritious dish pairing trout with fresh vegetables. Trout is a great source of lean protein and omega-3s, while vegetables add fiber and nutrients.;lunch,dinner;200;10;15;20
Baked cod;A light, flaky white fish that is baked to perfection, served with vegetables or potatoes. Cod is low in fat and calories while being rich in protein, making it a healthy option.;lunch,dinner;250;12;20;15
Sushi;A Japanese dish featuring vinegared rice paired with seafood or vegetables. Sushi is low in fat and provides lean protein and essential nutrients like omega-3 fatty acids from fish.;lunch,dinner;200;5;30;8
Grilled chicken salad;A nutritious salad topped with lean, grilled chicken, and fresh vegetables. This dish is low in fat and high in protein, making it an excellent choice for a healthy meal.;lunch,dinner;180;4;10;25
Burrito;A Mexican dish where a soft tortilla wraps flavorful fillings like rice, beans, meat, and vegetables. Burritos provide a balanced source of protein, carbs, and fats, depending on the fillings.;lunch,dinner;290;10;40;12
Fried rice;A popular Asian dish made with stir-fried rice and vegetables, often mixed with eggs or meat. Fried rice provides ample carbohydrates but can be higher in fats due to the cooking method.;lunch,dinner;250;8;30;6
Porridge;A warm, hearty breakfast dish made with oats cooked in milk or water. Porridge is a great source of fiber and provides long-lasting energy from complex carbohydrates.;breakfast,snack;150;2;27;5
Egg and avocado toast;A satisfying meal featuring creamy avocado spread over toast, topped with a poached egg. This dish provides healthy fats from the avocado and protein from the eggs.;breakfast,snack;220;12;18;10
Vegetable stir-fry;A quick and nutritious dish made by stir-frying fresh vegetables with a light sauce. This dish is rich in vitamins, fiber, and healthy nutrients while being low in calories.;lunch,dinner;180;5;20;5
Chicken tikka masala;A flavorful Indian dish featuring tender chicken in a spiced tomato sauce. This dish is high in protein and offers a balance of fats and carbohydrates.;lunch,dinner;300;15;25;20
Falafel wrap;A Mediterranean dish where crispy falafel is wrapped in soft pita bread with fresh veggies and sauces. Falafel provides plant-based protein, fiber, and healthy fats.;lunch,dinner;250;10;30;8
Miso soup;A light Japanese soup made with miso paste, tofu, and seaweed. Miso soup is low in calories and provides a healthy dose of probiotics and nutrients.;lunch,dinner;60;2;5;4
Granola with yogurt;A crunchy and nutritious breakfast or snack featuring granola and creamy yogurt. This combination provides a good balance of carbohydrates, healthy fats, and protein.;breakfast,snack;200;8;30;6
French toast;A sweet breakfast dish made by soaking bread in a mixture of eggs and milk, then frying. French toast provides a balance of carbohydrates and proteins but can be high in fats.;breakfast,snack;220;8;30;7
Lentil soup;A hearty and filling soup made with tender lentils and vegetables. Lentils are a great source of plant-based protein and fiber, promoting digestion and satiety.;lunch,dinner;180;4;25;10
Beef stew;A comforting dish featuring slow-cooked beef, vegetables, and broth. Beef stew is rich in protein and iron, supporting muscle health and overall energy levels.;lunch,dinner;300;15;20;25
Pad Thai;A popular Thai dish made with stir-fried rice noodles, eggs, tofu, or shrimp in a flavorful sauce. Pad Thai offers a good balance of carbs and protein, with healthy fats from peanuts.;lunch,dinner;310;10;45;15
Chia pudding;A healthy snack made with chia seeds soaked in milk, often sweetened with honey. Chia seeds are high in omega-3s, fiber, and protein, making this a nutrient-dense choice.;snack,dessert;180;12;15;6
Spring rolls;A light Asian snack made with fresh vegetables wrapped in thin rice paper or fried dough. Spring rolls are low in fat and provide fiber from the veggies.;snack;150;5;20;4
Vegetarian pizza;A delicious pizza topped with fresh vegetables and a cheesy base. This dish provides energy from carbs and a moderate amount of protein, depending on the toppings.;lunch,dinner;240;8;35;10
Couscous with vegetables;A Middle Eastern dish featuring fluffy couscous served with sautéed vegetables. Couscous provides a good source of carbs, while the vegetables add vitamins and fiber.;lunch,dinner;190;4;30;6
Quinoa salad;A light and healthy salad with quinoa, vegetables, and often a light dressing. Quinoa is a complete protein, making this dish a great source of plant-based protein.;lunch,dinner;200;6;25;8
Shakshuka;A Middle Eastern dish featuring eggs poached in a spiced tomato sauce. Shakshuka is rich in protein from the eggs and provides vitamins from the tomato sauce.;breakfast,lunch;160;8;12;10
Baked beans on toast;A British classic featuring savory baked beans served over crispy toast. This dish provides fiber from the beans and energy-boosting carbs from the toast.;breakfast,snack;180;5;30;8
Falafel;A popular Middle Eastern dish made from fried chickpea balls, often served in pita bread. Falafel is high in plant-based protein and fiber, making it a filling and nutritious option.;lunch,dinner;330;18;32;12
Chicken Caesar wrap;A tasty wrap filled with grilled chicken, crisp lettuce, and Caesar dressing. This wrap provides protein from the chicken and healthy fats from the dressing.;lunch,dinner;290;10;30;20
Vegetable curry;A flavorful Indian dish made with spiced vegetables simmered in a rich curry sauce. This dish is high in fiber and vitamins from the vegetables, offering a nutritious and filling meal.;lunch,dinner;240;10;35;8
Eggplant Parmesan;A hearty Italian dish made with layers of breaded eggplant, marinara sauce, and melted cheese. This dish is a great source of protein and fiber, but can be high in fats.;lunch,dinner;380;20;40;15
Beef tacos;A Mexican dish featuring seasoned beef served in a tortilla with toppings like salsa and cheese. Beef tacos are rich in protein but can also be higher in fat depending on the ingredients.;lunch,dinner;290;12;30;20
Prawn cocktail;A light seafood appetizer featuring chilled prawns served with a tangy cocktail sauce. Prawns are low in fat and high in lean protein, making this dish both nutritious and tasty.;snack,lunch;120;5;10;12
Lamb kebab;A Mediterranean dish featuring seasoned lamb grilled on skewers. Lamb kebabs are a good source of protein and healthy fats, offering a flavorful and filling option.;lunch,dinner;320;20;25;15
Risotto with mushrooms;A creamy Italian dish made with Arborio rice and sautéed mushrooms. Risotto provides energy from carbs, while the mushrooms add fiber and essential nutrients.;lunch,dinner;350;12;50;10
Avocado salad;A fresh and light salad featuring creamy avocado, leafy greens, and other vegetables. Avocados provide healthy fats, while the vegetables contribute fiber and vitamins.;lunch,dinner;200;15;10;5
Gnocchi with pesto;Soft potato dumplings served in a rich basil pesto sauce. This dish provides a combination of carbs from the gnocchi and healthy fats from the pesto.;lunch,dinner;280;12;40;8
Chili con carne;A hearty Mexican dish featuring ground beef, beans, and tomatoes cooked in a spiced sauce. This dish is high in protein and fiber, making it both filling and nutritious.;lunch,dinner;350;15;35;20
Ratatouille;A classic French vegetable dish made with a medley of slow-cooked vegetables. Ratatouille is rich in vitamins and antioxidants, making it a light but nutritious option.;lunch,dinner;150;5;20;5
Tofu stir-fry;A vegetarian dish featuring stir-fried tofu and fresh vegetables in a flavorful sauce. Tofu provides plant-based protein, while the veggies add fiber and essential nutrients.;lunch,dinner;220;12;25;15
Shrimp scampi;A seafood dish made with tender shrimp sautéed in garlic butter and white wine. Shrimp is high in lean protein and low in fat, making this a nutritious and delicious choice.;lunch,dinner;280;15;20;20
Tom Yum soup;A flavorful Thai soup made with shrimp, lemongrass, and a spicy-sour broth. Tom Yum is low in calories and fat, but high in protein and rich in vitamins.;lunch,dinner;120;3;15;10
Greek yogurt with honey;A creamy and sweet snack made with thick Greek yogurt and a drizzle of honey. Greek yogurt is rich in protein and probiotics, promoting gut health.;snack;150;6;18;8
Chicken quesadilla;A Mexican dish where grilled chicken and melted cheese are folded inside a tortilla. This dish is high in protein and provides a good balance of carbs and fats.;lunch,dinner;320;16;30;22
Stuffed bell peppers;Colorful bell peppers filled with a mixture of rice, meat, and vegetables. This dish is high in fiber and vitamins from the peppers and provides protein from the filling.;lunch,dinner;250;10;35;15
Paella;A traditional Spanish dish made with rice, saffron, and a mix of seafood or meats. Paella provides a hearty source of protein and carbohydrates, making it a filling meal.;lunch,dinner;350;10;45;15
Bibimbap;A Korean dish consisting of mixed rice, vegetables, and often beef, topped with a fried egg. Bibimbap is high in protein and provides fiber and vitamins from the vegetables.;lunch,dinner;450;16;60;20
Pho;A Vietnamese noodle soup made with broth, rice noodles, and thinly sliced beef or chicken. Pho is low in fat but rich in protein and carbs, offering a warm and nutritious meal.;lunch,dinner;350;5;50;15
Samosa;A popular Indian snack made with a crispy pastry shell filled with spiced potatoes or meat. Samosas are high in carbs and fats but provide a deliciously flavorful treat.;snack;262;17;29;5
Shawarma;A Middle Eastern dish made with marinated, spit-roasted meat served in a wrap or on a plate. Shawarma is rich in protein and fats, offering a flavorful and hearty meal.;lunch,dinner;500;25;40;30
Fettuccine Alfredo;An Italian pasta dish made with fettuccine noodles in a creamy Alfredo sauce. This dish is high in fat and carbohydrates, offering a rich and indulgent meal.;lunch,dinner;570;35;45;15
Poutine;A Canadian dish made of fries topped with cheese curds and gravy. Poutine is rich in carbs and fats, making it a delicious but indulgent option.;snack,lunch;740;40;80;15
Arepa;A Venezuelan cornmeal cake often filled with cheese, meats, or avocados. Arepas are a good source of carbohydrates and provide some protein depending on the fillings.;breakfast,lunch;300;10;40;8
Tacos al Pastor;A Mexican dish featuring marinated pork served on soft corn tortillas. This dish provides protein from the pork and energy from the tortillas.;lunch,dinner;280;12;25;18
Kimchi fried rice;A Korean dish combining rice with spicy, fermented kimchi and often topped with a fried egg. This dish is rich in carbs and provides probiotics from the kimchi.;lunch,dinner;450;12;70;10
Ceviche;A light and tangy Peruvian dish made with fresh fish marinated in citrus juices. Ceviche is low in fat and calories, but high in protein and vitamin C.;snack,lunch;150;3;10;20
Moussaka;A Greek dish made with layers of eggplant, potatoes, and spiced ground meat topped with béchamel sauce. This dish is rich in protein and offers a hearty, satisfying meal.;lunch,dinner;350;18;25;15
Pierogi;Polish dumplings filled with potatoes, cheese, or meat. Pierogi are a good source of carbohydrates and offer some protein, depending on the filling.;lunch,dinner;220;7;35;6
Borscht;A vibrant Eastern European soup made from beets and often served with sour cream. Borscht is low in calories but rich in vitamins and antioxidants from the beets.;lunch,dinner;120;2;20;3
Baklava;A sweet Middle Eastern pastry made with layers of filo dough, honey, and nuts. Baklava is rich in sugars and fats, making it a sweet and indulgent treat.;dessert;350;22;45;4
Croissant;A flaky, buttery French pastry perfect for breakfast or a snack. Croissants are high in fats and carbs, providing a rich, indulgent bite.;breakfast,snack;231;12;26;5
Roti Canai;A flaky Malaysian flatbread often served with curry. Roti Canai is high in carbs and fats, making it a delicious yet filling dish.;lunch,dinner;300;15;35;8
Pad See Ew;A popular Thai dish made with stir-fried wide rice noodles and vegetables in a sweet soy sauce. Pad See Ew is rich in carbs and provides a good source of protein.;lunch,dinner;450;12;65;20
Empanadas;A classic Argentine pastry filled with meat, cheese, or vegetables. Empanadas provide a balance of carbs and protein, making them a satisfying snack or meal.;snack,lunch;400;20;40;12
Tagine;A slow-cooked Moroccan dish made with meat, vegetables, and fragrant spices. Tagine is a good source of protein and vitamins from the vegetables.;lunch,dinner;350;15;45;12
Tandoori Chicken;An Indian dish featuring chicken marinated in yogurt and spices, then roasted. This dish is high in protein and offers a flavorful, low-carb meal.;lunch,dinner;300;12;15;40
Fried plantains;A popular Caribbean dish made by frying ripe plantains. Fried plantains are rich in carbohydrates and sugars, offering a sweet and indulgent side or snack.;snack,lunch;290;14;45;2
Dim sum;A variety of small Chinese dishes, often served in steamed or fried dumplings. Dim sum provides a range of flavors and textures, with moderate amounts of protein and carbs.;snack,lunch;210;10;25;8
Fattoush;A fresh Middle Eastern salad made with crisp vegetables and fried pita pieces. Fattoush is low in calories but provides fiber and vitamins from the vegetables.;lunch,dinner;180;8;22;4
Jollof rice;A flavorful West African dish made with rice cooked in a spicy tomato sauce. Jollof rice is rich in carbohydrates and offers a balanced, filling meal.;lunch,dinner;350;12;55;6
Chicken schnitzel;A crispy, breaded chicken cutlet fried to perfection. Chicken schnitzel provides protein and fats, making it a hearty and satisfying dish.;lunch,dinner;400;20;35;30
Bulgogi;A Korean dish made with marinated beef grilled to perfection. Bulgogi is rich in protein and offers a sweet and savory flavor profile.;lunch,dinner;450;25;40;25
Ramen;A Japanese noodle soup made with a savory broth, noodles, and various toppings like pork and eggs. Ramen is rich in carbs and provides protein, making it a hearty, filling meal.;lunch,dinner;500;15;60;25
Gado-Gado;An Indonesian salad made with a mix of vegetables, tofu, and peanut sauce. Gado-Gado is rich in protein from the tofu and healthy fats from the peanut sauce.;lunch,dinner;250;12;30;12
Fried calamari;A Mediterranean dish featuring tender squid rings fried to a crispy golden brown. Calamari is rich in protein but can be higher in fats depending on the preparation.;snack,lunch;300;15;35;10
Okonomiyaki;A Japanese savory pancake made with cabbage, meat, and a special sauce. Okonomiyaki provides a balance of protein, carbs, and fats, making it a filling meal.;lunch,dinner;400;20;50;15
Pozole;A traditional Mexican soup made with hominy, pork, and a flavorful broth. Pozole is a good source of protein and fiber from the hominy, making it both hearty and nutritious.;lunch,dinner;320;12;45;15
Hummus with pita;A Middle Eastern snack featuring creamy hummus served with warm pita bread. Hummus is high in protein and fiber, while the pita provides carbs for energy.;snack,lunch;300;12;45;10
Escargot;A French delicacy featuring snails cooked in garlic butter. Escargot is high in protein and healthy fats, offering a unique and rich flavor.;snack,lunch;250;20;5;10
Calzone;An Italian dish resembling a folded pizza, filled with cheese, meats, and vegetables. Calzones are rich in carbs and fats, offering a hearty, satisfying meal.;lunch,dinner;600;30;65;25
Kofta;A Middle Eastern dish made with spiced ground meat, often grilled on skewers. Kofta is high in protein and fats, providing a flavorful and filling meal.;lunch,dinner;350;22;30;18
Spanakopita;A Greek pie made with layers of flaky filo dough and a spinach and feta cheese filling. Spanakopita is rich in fiber and protein, thanks to the spinach and cheese.;snack,lunch;250;15;30;10
Gazpacho;A cold Spanish soup made from blended raw vegetables like tomatoes and cucumbers. Gazpacho is refreshing, low in calories, and rich in vitamins and antioxidants.;lunch,dinner;150;7;20;3
Sauerbraten;A German dish of marinated beef, slow-cooked to tenderness. Sauerbraten is rich in protein and provides a savory, hearty meal.;lunch,dinner;450;18;20;35
Nasi Goreng;A popular Indonesian fried rice dish made with vegetables, eggs, and often meat. Nasi Goreng is rich in carbs and provides a good balance of protein.;lunch,dinner;500;15;70;15
Yakitori;Japanese skewered chicken grilled to perfection, often glazed with a sweet sauce. Yakitori is high in protein and offers a tasty, low-fat option.;snack,lunch;250;10;10;30
Tuna tartare;A light and refreshing appetizer made with finely chopped raw tuna and seasonings. Tuna tartare is high in lean protein and omega-3 fatty acids.;snack,lunch;200;8;5;25
Gumbo;A Southern American stew made with a flavorful broth, meat or seafood, and okra. Gumbo is rich in protein and provides a balance of carbs and fats.;lunch,dinner;400;18;45;20
Focaccia;A soft and airy Italian bread often flavored with herbs and olive oil. Focaccia is rich in carbohydrates and fats, making it a delicious and filling snack.;snack;300;15;40;8
Lamb curry;A flavorful Indian dish made with tender lamb cooked in a spiced sauce. Lamb curry is rich in protein and offers a hearty, warming meal.;lunch,dinner;450;25;35;20
Tostones;A popular Latin American snack made from twice-fried green plantains. Tostones are high in carbs and provide a crunchy, savory side or snack.;snack,lunch;250;10;35;3
Baba ghanoush;A smoky and creamy Middle Eastern dip made from roasted eggplant and tahini. Baba ghanoush is rich in healthy fats and fiber, making it a nutritious snack.;snack;180;10;20;5
Pavlova;A light and airy Australian dessert made with meringue, whipped cream, and fruit. Pavlova is lower in fat but high in sugars, offering a sweet and refreshing treat.;dessert;300;5;55;4
Tamales;A Mexican dish made with masa dough filled with meat or vegetables, steamed in a corn husk. Tamales provide carbs from the dough and protein from the fillings.;lunch,dinner;350;15;45;10
Couscous salad;A light and refreshing Mediterranean salad made with couscous and fresh vegetables. Couscous salad is rich in fiber and provides a moderate amount of protein.;lunch,dinner;200;8;30;5
Fried chicken;A crispy, golden-brown chicken dish with a juicy interior. Fried chicken is high in protein, but also in fats and calories due to the frying process.;lunch,dinner;450;25;35;25
Chicken shawarma wrap;A flavorful Middle Eastern wrap filled with marinated chicken, veggies, and sauces. This wrap is high in protein and provides a good balance of carbs and fats.;lunch,dinner;400;20;45;25
Bruschetta;A classic Italian appetizer featuring toasted bread topped with fresh tomatoes, garlic, and olive oil. Bruschetta is low in calories and provides healthy fats from the olive oil.;snack;180;8;20;4
Duck confit;A French delicacy made with duck legs slowly cooked in their own fat. Duck confit is rich in fats and protein, offering a tender and flavorful dish.;lunch,dinner;600;40;10;35
Saganaki;A traditional Greek dish made with fried cheese, often served as an appetizer. Saganaki is high in protein and fats, offering a rich and indulgent flavor.;snack;400;25;10;25
Churros;A Spanish dessert made from fried dough, often coated in sugar or dipped in chocolate. Churros are high in carbs and sugars, making them a sweet and indulgent treat.;dessert;300;12;45;4
Kimchi pancake;A savory Korean snack made with fermented kimchi and a simple pancake batter. Kimchi pancakes are rich in carbs and provide probiotics from the kimchi.;snack,lunch;250;8;30;6
Khachapuri;A Georgian dish featuring a boat-shaped bread filled with cheese and topped with a runny egg. Khachapuri is rich in fats and carbohydrates, offering a hearty, cheesy treat.;lunch,dinner;500;25;60;20
Sichuan hotpot;A Chinese dish featuring a simmering pot of broth, meats, and vegetables cooked at the table. Sichuan hotpot is rich in protein, but can be high in fats due to the oily broth.;lunch,dinner;600;25;45;35
Cassoulet;A French stew made with beans, sausages, and slow-cooked meats. Cassoulet is rich in protein and fiber, offering a hearty and comforting meal.;lunch,dinner;700;35;50;35
Asado;An Argentine barbecue featuring grilled meats such as beef, pork, and sausages. Asado is high in protein but also in fats, making it a hearty and indulgent meal.;lunch,dinner;800;50;10;70
Milanesa;A breaded meat cutlet, typically made with beef or chicken, fried to a golden crisp. Milanesa is rich in protein, but also higher in fats due to the frying process.;lunch,dinner;550;30;40;35
Choripán;A popular Argentine sandwich made with grilled chorizo sausage in a crusty roll. Choripán is high in fats and protein, making it a flavorful but indulgent option.;lunch,dinner;450;25;30;25
Empanada de carne;A savory Argentine pastry filled with spiced meat, often enjoyed as a snack or light meal. Empanadas provide carbs and protein, making them a satisfying snack.;lunch,dinner;300;15;35;12
Provoleta;A grilled provolone cheese appetizer, often served as part of an Argentine barbecue. Provoleta is rich in protein and fats, offering a savory and indulgent dish.;snack;400;35;3;20
Locro;A hearty Argentine stew made with corn, beans, and meat. Locro is rich in protein and fiber, offering a filling and nutritious meal.;lunch,dinner;600;20;60;30
Humita;An Argentine dish made from cornmeal, cheese, and seasonings, often wrapped in corn husks. Humita is rich in carbs and provides a moderate amount of protein.;lunch,dinner;350;15;40;10
Matambre a la pizza;A unique Argentine dish where grilled beef is topped with pizza-style ingredients like cheese and tomato sauce. This dish is high in protein and fats.;lunch,dinner;600;35;45;40
Carbonada;A traditional Argentine stew made with beef, potatoes, and squash. Carbonada is rich in protein, fiber, and carbohydrates, making it a hearty and nutritious meal.;lunch,dinner;500;20;50;30
Cazuela de mariscos;A seafood casserole featuring a mix of shellfish in a flavorful broth. This dish is high in lean protein from the seafood and offers a rich, satisfying flavor.;lunch,dinner;450;20;35;30
Morcilla;An Argentine blood sausage made with pork and spices. Morcilla is rich in protein but also higher in fats, offering a unique and bold flavor.;snack,lunch;400;30;5;25
Pastel de papas;An Argentine version of shepherd's pie, made with layers of mashed potatoes and spiced meat. This dish provides a hearty balance of protein, fats, and carbs.;lunch,dinner;500;25;50;25
Puchero;A traditional Argentine boiled dish featuring meat and vegetables. Puchero is rich in protein and vitamins, offering a wholesome and hearty meal.;lunch,dinner;600;30;40;40
